year,WEST VIRGINIA BLACK/Predictions
1994,57
1996,41
1998,1369
2000,45
2002,34
2004,42
2006,44
2008,39
2010,48
2012,40
2014,41
2016,48
2018,49
2020,45
2022,-58
2024,-84
2026,-110
2028,-136
2030,-163
