year,CALIFORNIA WHITE/Predictions
1994,18799
1996,18490
1998,6264
2000,19770
2002,19185
2004,20083
2006,20284
2008,20823
2010,20828
2012,21330
2014,21429
2016,21592
2018,21467
2020,21941
2022,23349
2024,23869
2026,24390
2028,24910
2030,25430
