year,WYOMING HISPANIC ORIGIN/Predictions
1994,14
1996,16
1998,4
2000,19
2002,19
2004,20
2006,30
2008,18
2010,31
2012,32
2014,29
2016,32
2018,41
2020,40
2022,41
2024,43
2026,45
2028,48
2030,50
