year,HAWAII MALE/Predictions
1994,383
1996,395
1998,396
2000,413
2002,417
2004,448
2006,460
2008,478
2010,471
2012,493
2014,502
2016,519
2018,504
2020,509
2022,539
2024,550
2026,561
2028,572
2030,583
