year,LOUISIANA HISPANIC ORIGIN/Predictions
1994,61
1996,60
1998,980
2000,61
2002,135
2004,68
2006,92
2008,100
2010,104
2012,125
2014,165
2016,174
2018,189
2020,210
2022,129
2024,122
2026,115
2028,108
2030,101
