year,MINNESOTA FEMALE/Predictions
1994,1705
1996,1686
1998,1703
2000,1785
2002,1951
2004,1908
2006,1947
2008,1972
2010,2017
2012,2062
2014,2097
2016,2127
2018,2139
2020,2190
2022,2249
2024,2289
2026,2329
2028,2369
2030,2409
