year,IOWA WHITE/Predictions
1994,1965
1996,1999
1998,24
2000,2009
2002,2061
2004,2120
2006,2118
2008,2084
2010,2161
2012,2173
2014,2171
2016,2201
2018,2192
2020,2160
2022,2388
2024,2446
2026,2503
2028,2560
2030,2617
