year,GEORGIA HISPANIC ORIGIN/Predictions
1994,105
1996,100
1998,1744
2000,169
2002,241
2004,376
2006,528
2008,541
2010,519
2012,489
2014,508
2016,680
2018,525
2020,739
2022,640
2024,657
2026,673
2028,689
2030,705
