year,WISCONSIN BLACK/Predictions
1994,125
1996,137
1998,3489
2000,147
2002,184
2004,195
2006,203
2008,199
2010,204
2012,242
2014,230
2016,205
2018,264
2020,263
2022,14
2024,-41
2026,-97
2028,-153
2030,-208
