year,INDIANA TOTAL/Predictions
1994,4191
1996,4238
1998,4377
2000,4380
2002,4646
2004,4536
2006,4629
2008,4686
2010,4777
2012,4852
2014,4913
2016,4988
2018,5006
2020,5096
2022,5180
2024,5249
2026,5317
2028,5386
2030,5455
