year,MINNESOTA TOTAL/Predictions
1994,3296
1996,3375
1998,3443
2000,3506
2002,3823
2004,3766
2006,3855
2008,3898
2010,3982
2012,4055
2014,4104
2016,4190
2018,4238
2020,4339
2022,4438
2024,4516
2026,4595
2028,4674
2030,4752
