year,HAWAII BLACK/Predictions
1994,7
1996,15
1998,192
2000,16
2002,11
2004,17
2006,15
2008,18
2010,28
2012,18
2014,19
2016,24
2018,22
2020,18
2022,10
2024,7
2026,4
2028,2
2030,0
