year,CALIFORNIA BLACK/Predictions
1994,1237
1996,1363
1998,19121
2000,1678
2002,1503
2004,1678
2006,1665
2008,1682
2010,1728
2012,1810
2014,1846
2016,1849
2018,1912
2020,1947
2022,666
2024,364
2026,63
2028,-238
2030,-540
