year,OREGON BLACK/Predictions
1994,40
1996,48
1998,2310
2000,34
2002,48
2004,48
2006,39
2008,57
2010,63
2012,57
2014,56
2016,57
2018,78
2020,82
2022,-99
2024,-142
2026,-184
2028,-226
2030,-268
