year,VIRGINIA HISPANIC ORIGIN/Predictions
1994,117
1996,124
1998,1054
2000,234
2002,207
2004,301
2006,349
2008,330
2010,369
2012,375
2014,389
2016,606
2018,669
2020,678
2022,601
2024,626
2026,651
2028,676
2030,701
