year,CONNECTICUT FEMALE
1994,1287
1996,1276
1998,1262
2000,1268
2002,1379
2004,1359
2006,1383
2008,1381
2010,1374
2012,1429
2014,1450
2016,1438
2018,1469
2020,1444
