year,NORTH CAROLINA BLACK
1994,1222
1996,1007
1998,4081
2000,1315
2002,1178
2004,1241
2006,1284
2008,1368
2010,1438
2012,1529
2014,1572
2016,1625
2018,1685
2020,1752
