year,PENNSYLVANIA TOTAL
1994,9004
1996,8996
1998,8942
2000,8950
2002,9404
2004,9356
2006,9436
2008,9449
2010,9631
2012,9847
2014,9924
2016,9980
2018,9928
2020,9902
