year,NEW JERSEY TOTAL
1994,5918
1996,5944
1998,6059
2000,6109
2002,6669
2004,6413
2006,6488
2008,6489
2010,6581
2012,6730
2014,6820
2016,6862
2018,7009
2020,6801
