year,OKLAHOMA FEMALE
1994,1247
1996,1292
1998,1249
2000,1302
2002,1299
2004,1355
2006,1363
2008,1386
2010,1400
2012,1449
2014,1457
2016,1507
2018,1480
2020,1508
