year,FLORIDA HISPANIC ORIGIN
1994,1690
1996,1759
1998,1417
2000,2162
2002,2334
2004,2422
2006,2862
2008,2909
2010,2962
2012,3349
2014,3530
2016,4010
2018,4288
2020,4439
