year,NORTH CAROLINA MALE
1994,2460
1996,2553
1998,2664
2000,2626
2002,2829
2004,2979
2006,3117
2008,3249
2010,3320
2012,3439
2014,3510
2016,3596
2018,3748
2020,3854
