year,NORTH CAROLINA TOTAL
1994,5211
1996,5364
1998,5536
2000,5629
2002,5978
2004,6250
2006,6490
2008,6845
2010,6998
2012,7265
2014,7412
2016,7631
2018,7911
2020,8113
