year,PENNSYLVANIA FEMALE
1994,4673
1996,4714
1998,4806
2000,4663
2002,4930
2004,4889
2006,4944
2008,4956
2010,5050
2012,5120
2014,5145
2016,5172
2018,5192
2020,5115
