year,MASSACHUSETTS FEMALE
1994,2397
1996,2403
1998,2365
2000,2403
2002,2608
2004,2541
2006,2551
2008,2576
2010,2661
2012,2718
2014,2775
2016,2788
2018,2866
2020,2872
