year,PENNSYLVANIA MALE
1994,4331
1996,4282
1998,4136
2000,4287
2002,4474
2004,4467
2006,4492
2008,4493
2010,4581
2012,4727
2014,4779
2016,4808
2018,4736
2020,4787
