year,SOUTH CAROLINA WHITE
1994,1765
1996,2005
1998,24
2000,2233
2002,2224
2004,2188
2006,2270
2008,2413
2010,2455
2012,2508
2014,2622
2016,2621
2018,2790
2020,2840
