year,CALIFORNIA HISPANIC ORIGIN
1994,5736
1996,5723
1998,1579
2000,6514
2002,6964
2004,8127
2006,8180
2008,8859
2010,9004
2012,9935
2014,10023
2016,10221
2018,10595
2020,11165
