year,MASSACHUSETTS MALE
1994,2135
1996,2157
1998,2229
2000,2212
2002,2323
2004,2299
2006,2313
2008,2385
2010,2436
2012,2452
2014,2504
2016,2585
2018,2594
2020,2642
