year,OKLAHOMA TOTAL
1994,2325
1996,2356
1998,2426
2000,2457
2002,2515
2004,2602
2006,2616
2008,2667
2010,2695
2012,2808
2014,2851
2016,2923
2018,2868
2020,2942
