year,DISTRICT OF COLUMBIA HISPANIC ORIGIN
1994,33
1996,17
1998,248
2000,26
2002,40
2004,38
2006,36
2008,50
2010,45
2012,48
2014,53
2016,42
2018,53
2020,50
