year,NORTH CAROLINA WHITE
1994,3901
1996,4165
1998,112
2000,4143
2002,4569
2004,4709
2006,4980
2008,5158
2010,5164
2012,5453
2014,5415
2016,5480
2018,5775
2020,5775
