year,TEXAS HISPANIC ORIGIN
1994,3909
1996,3804
1998,1614
2000,4414
2002,5149
2004,5232
2006,5407
2008,6241
2010,6403
2012,6831
2014,6762
2016,6923
2018,7658
2020,7730
