year,NORTH DAKOTA WHITE/Predictions
1994,399
1996,401
1998,1
2000,389
2002,388
2004,393
2006,362
2008,361
2010,324
2012,354
2014,345
2016,403
2018,368
2020,393
2022,389
2024,395
2026,400
2028,406
2030,411
