year,NEW MEXICO TOTAL/Predictions
1994,695
1996,749
1998,756
2000,750
2002,727
2004,936
2006,951
2008,937
2010,746
2012,978
2014,919
2016,916
2018,916
2020,1028
2022,1013
2024,1034
2026,1054
2028,1075
2030,1096
