year,RHODE ISLAND TOTAL/Predictions
1994,475
1996,519
1998,478
2000,508
2002,495
2004,522
2006,536
2008,568
2010,510
2012,552
2014,486
2016,538
2018,532
2020,575
2022,555
2024,560
2026,565
2028,569
2030,574
