year,CALIFORNIA TOTAL/Predictions
1994,12544
1996,12827
1998,12356
2000,13061
2002,12025
2004,14193
2006,13239
2008,14885
2010,13864
2012,15356
2014,14113
2016,16096
2018,15690
2020,18001
2022,16810
2024,17164
2026,17517
2028,17870
2030,18224
