year,WISCONSIN BLACK/Predictions
1994,69
1996,97
1998,2457
2000,105
2002,101
2004,141
2006,120
2008,145
2010,113
2012,184
2014,129
2016,101
2018,137
2020,126
2022,-33
2024,-76
2026,-119
2028,-162
2030,-205
