year,NEW YORK BLACK/Predictions
1994,845
1996,1164
1998,6498
2000,1133
2002,1165
2004,1188
2006,1083
2008,1143
2010,1306
2012,1542
2014,1385
2016,1570
2018,1410
2020,1598
2022,1186
2024,1125
2026,1064
2028,1003
2030,942
