year,KANSAS FEMALE/Predictions
1994,624
1996,666
1998,629
2000,693
2002,690
2004,704
2006,670
2008,726
2010,691
2012,796
2014,718
2016,767
2018,757
2020,731
2022,776
2024,785
2026,795
2028,804
2030,814
