year,OKLAHOMA WHITE/Predictions
1994,1344
1996,1381
1998,29
2000,1507
2002,1399
2004,1450
2006,1494
2008,1436
2010,1234
2012,1364
2014,1343
2016,1470
2018,1422
2020,1537
2022,1544
2024,1574
2026,1605
2028,1635
2030,1666
