year,MICHIGAN FEMALE/Predictions
1994,2719
1996,2697
1998,2747
2000,2609
2002,2817
2004,2845
2006,2773
2008,2940
2010,2734
2012,2957
2014,2762
2016,2893
2018,2890
2020,2865
2022,2917
2024,2933
2026,2948
2028,2963
2030,2978
