year,MAINE WHITE/Predictions
1994,737
1996,751
1998,3
2000,779
2002,822
2004,799
2006,794
2008,778
2010,765
2012,766
2014,771
2016,793
2018,796
2020,803
2022,857
2024,875
2026,892
2028,910
2030,927
