year,COLORADO WHITE/Predictions
1994,1612
1996,1915
1998,173
2000,1853
2002,1865
2004,2162
2006,2150
2008,2262
2010,2142
2012,2471
2014,2453
2016,2663
2018,2439
2020,2733
2022,2888
2024,2998
2026,3108
2028,3218
2030,3328
