year,TEXAS FEMALE/Predictions
1994,4066
1996,4315
1998,4476
2000,4740
2002,4606
2004,5133
2006,5156
2008,5430
2010,5054
2012,5772
2014,5340
2016,6245
2018,6273
2020,7005
2022,6671
2024,6859
2026,7047
2028,7236
2030,7424
