year,MONTANA HISPANIC ORIGIN/Predictions
1994,5
1996,5
1998,1
2000,9
2002,7
2004,6
2006,3
2008,9
2010,13
2012,8
2014,11
2016,12
2018,11
2020,15
2022,13
2024,14
2026,15
2028,16
2030,16
