year,MONTANA WHITE/Predictions
1994,444
1996,461
1998,5
2000,439
2002,448
2004,493
2006,482
2008,487
2010,452
2012,506
2014,483
2016,542
2018,546
2020,597
2022,591
2024,609
2026,628
2028,646
2030,664
