year,OREGON FEMALE/Predictions
1994,883
1996,923
1998,871
2000,908
2002,886
2004,1078
2006,995
2008,1047
2010,1043
2012,1095
2014,1058
2016,1095
2018,1197
2020,1345
2022,1245
2024,1274
2026,1303
2028,1332
2030,1360
