year,IDAHO HISPANIC ORIGIN/Predictions
1994,10
1996,9
1998,1
2000,10
2002,14
2004,19
2006,16
2008,37
2010,17
2012,35
2014,23
2016,55
2018,51
2020,63
2022,56
2024,60
2026,64
2028,68
2030,72
