year,MARYLAND TOTAL/Predictions
1994,2369
1996,2481
1998,2331
2000,2499
2002,2377
2004,2676
2006,2720
2008,2828
2010,2509
2012,2888
2014,2995
2016,3114
2018,3095
2020,3383
2022,3270
2024,3342
2026,3414
2028,3485
2030,3557
