year,PENNSYLVANIA WHITE/Predictions
1994,4666
1996,5328
1998,107
2000,5269
2002,5234
2004,5853
2006,5489
2008,5783
2010,5426
2012,5951
2014,5452
2016,5916
2018,5628
2020,6390
2022,6527
2024,6707
2026,6887
2028,7067
2030,7247
