year,CALIFORNIA BLACK/Predictions
1994,742
1996,904
1998,10383
2000,1039
2002,801
2004,1141
2006,847
2008,1105
2010,932
2012,1192
2014,1043
2016,1018
2018,1061
2020,1249
2022,449
2024,286
2026,123
2028,-40
2030,-203
