year,NEW JERSEY TOTAL/Predictions
1994,3698
1996,3765
1998,3638
2000,3859
2002,3802
2004,4085
2006,3487
2008,4022
2010,3656
2012,4326
2014,3919
2016,4165
2018,4297
2020,5008
2022,4473
2024,4539
2026,4605
2028,4670
2030,4736
