year,ILLINOIS BLACK/Predictions
1994,900
1996,972
1998,4623
2000,998
2002,799
2004,919
2006,822
2008,826
2010,844
2012,987
2014,768
2016,932
2018,861
2020,861
2022,560
2024,481
2026,402
2028,323
2030,245
