year,UTAH HISPANIC ORIGIN/Predictions
1994,14
1996,33
1998,2
2000,24
2002,31
2004,28
2006,36
2008,24
2010,21
2012,61
2014,56
2016,94
2018,96
2020,100
2022,93
2024,99
2026,106
2028,113
2030,119
