year,VERMONT HISPANIC ORIGIN/Predictions
1994,2
1996,3
1998,0
2000,2
2002,2
2004,2
2006,2
2008,2
2010,1
2012,3
2014,2
2016,3
2018,7
2020,4
2022,4
2024,4
2026,4
2028,4
2030,5
