year,INDIANA MALE/Predictions
1994,1118
1996,1391
1998,1272
2000,1424
2002,1329
2004,1473
2006,1442
2008,1465
2010,1315
2012,1542
2014,1426
2016,1595
2018,1522
2020,1632
2022,1616
2024,1642
2026,1668
2028,1693
2030,1719
