year,MONTANA BLACK/Predictions
1994,0
1996,2
1998,448
2000,0
2002,0
2004,0
2006,0
2008,2
2010,2
2012,0
2014,3
2016,2
2018,1
2020,2
2022,-32
2024,-41
2026,-49
2028,-58
2030,-67
