year,CONNECTICUT MALE/Predictions
1994,753
1996,771
1998,764
2000,682
2002,757
2004,775
2006,759
2008,830
2010,767
2012,811
2014,765
2016,798
2018,804
2020,843
2022,822
2024,828
2026,834
2028,840
2030,846
