year,IOWA BLACK/Predictions
1994,23
1996,23
1998,1520
2000,42
2002,30
2004,24
2006,20
2008,42
2010,29
2012,35
2014,31
2016,39
2018,47
2020,55
2022,-68
2024,-96
2026,-124
2028,-152
2030,-180
