year,IDAHO TOTAL/Predictions
1994,504
1996,571
1998,528
2000,569
2002,567
2004,663
2006,660
2008,723
2010,666
2012,745
2014,671
2016,790
2018,743
2020,900
2022,846
2024,871
2026,895
2028,919
2030,944
