year,WYOMING HISPANIC ORIGIN/Predictions
1994,6
1996,7
1998,0
2000,9
2002,10
2004,11
2006,13
2008,8
2010,9
2012,10
2014,9
2016,15
2018,16
2020,23
2022,17
2024,18
2026,19
2028,20
2030,21
