year,VERMONT MALE/Predictions
1994,143
1996,149
1998,153
2000,152
2002,155
2004,168
2006,160
2008,164
2010,169
2012,168
2014,152
2016,166
2018,168
2020,178
2022,174
2024,176
2026,178
2028,180
2030,181
