year,TEXAS WHITE/Predictions
1994,6761
1996,7234
1998,1609
2000,7771
2002,7224
2004,8148
2006,8205
2008,8423
2010,7858
2012,8643
2014,8124
2016,9306
2018,9331
2020,10734
2022,10332
2024,10668
2026,11004
2028,11340
2030,11676
